"Edit draft","Entwurf bearbeiten",
"You've made two Drafts. Please select the one you want to add to cart.","Sie haben 2 Entwürfe an uns übertragen. Wählen Sie bitte den Entwurf, der zum Warenkorb hinzugefügt werden soll."
"draft-customize","Entwurf aus dem Printformer-Editor (Jetzt gestalten)"
"draft-personalize","Entwurf aus dem Printformer-Editor (Jetzt gestalten)"
"draft-upload","Hochgeladene PDF Datei (Upload + Print)"
"draft-upload-and-editor","Hochgeladene PDF Datei (Upload + Print)"
"View draft","Gestaltung ansehen"
"View upload","Upload ansehen"
"Save print-file","Druckdatei speichern"
"Upload", "Druckdaten hochladen"
"Should the draft be deleted?","Soll die Gestaltung gelöscht werden?"
"Design product","Produkt gestalten"
"There are no available credentials for this website. Please check your settings in admin section.", "Es sind keine Zugangsdaten für diese Website verfügbar. Bitte überprüfen Sie Ihre Einstellungen im Admin-Bereich."
"Editor opens...","Editor wird geöffnet..."
"Rights","Rechte"
